rank,name,repo,github_url,category,language,stars,forks,open_issues,created,last_update,days_since_update,trend_score,trend_rank,priority,phase,editorial_pick,pub_dev,youtube_signal,yt_search,topics,description,planned_title,slug,status
1,flutter,flutter/flutter,https://github.com/flutter/flutter,Framework/Core,Dart,177863,30800,12958,2015-03-06,2026-07-16,0,177863,1,High,P1,,https://pub.dev/packages/flutter,High,https://www.youtube.com/results?search_query=flutter+flutter,"android, app-framework, cross-platform, dart, dart-platform, desktop",Flutter makes it easy and fast to build beautiful apps for mobile and beyond,flutter: what powers Flutter and why it matters,flutter,Planned
2,rustdesk,rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,UI/Components,Rust,118373,18005,122,2020-09-28,2026-07-16,0,118373,2,High,P1,,,High,https://www.youtube.com/results?search_query=flutter+rustdesk,"android, anydesk, dart, flatpak, flutter, flutter-apps","An open-source remote desktop application designed for self-hosting, as an alternative to TeamViewer.",Build better Flutter UI with rustdesk,rustdesk,Planned
3,immich,immich-app/immich,https://github.com/immich-app/immich,App/Template,TypeScript,107857,6242,740,2022-02-03,2026-07-16,0,107857,3,High,P1,,,High,https://www.youtube.com/results?search_query=flutter+immich,"backup-tool, flutter, google-photos, google-photos-alternative, javascript, mobile-app",High performance self-hosted photo and video management solution.,Inside immich: an open-source Flutter app worth studying,immich,Planned
4,localsend,localsend/localsend,https://github.com/localsend/localsend,App/Template,Dart,85396,4686,1043,2022-12-16,2026-07-16,0,85396,4,High,P1,,,High,https://www.youtube.com/results?search_query=flutter+localsend,"dart, file-sharing, flutter, flutter-apps",An open-source cross-platform alternative to AirDrop,Inside localsend: an open-source Flutter app worth studying,localsend,Planned
5,AppFlowy,AppFlowy-IO/AppFlowy,https://github.com/AppFlowy-IO/AppFlowy,AI/ML,Dart,73906,5648,994,2021-06-16,2026-06-26,20,73906,5,High,P1,,,High,https://www.youtube.com/results?search_query=flutter+appflowy,"blog, confluence-alternative, content-management, content-services, documentation, flutter","Bring projects, wikis, and teams together with AI. AppFlowy is the AI collaborative workspace where you achieve more without losing control of your data. The le",Add AI to your Flutter app with AppFlowy,appflowy,Planned
6,awesome-flutter,Solido/awesome-flutter,https://github.com/Solido/awesome-flutter,Learning/Awesome,Dart,60616,6905,31,2017-05-07,2026-04-21,86,51524,7,High,P1,,,Medium,https://www.youtube.com/results?search_query=flutter+awesome-flutter,"android, awesome, awesome-list, collections, cross-platform, dartlang","An awesome list that curates the best Flutter libraries, tools, tutorials, articles and more.",awesome-flutter: a curated shortcut to mastering Flutter,awesome-flutter,Planned
7,appwrite,appwrite/appwrite,https://github.com/appwrite/appwrite,AI/ML,TypeScript,56594,5556,1056,2019-04-08,2026-07-16,0,56594,6,High,P1,,,High,https://www.youtube.com/results?search_query=flutter+appwrite,"android, appwrite, backend, backend-as-a-service, docker, firebase","Appwrite® - complete cloud infrastructure for your web, mobile and AI apps. Including Auth, Databases, Storage, Functions, Messaging, Hosting, Realtime and more",Add AI to your Flutter app with appwrite,appwrite,Planned
8,open-source-ios-apps,dkhamsing/open-source-ios-apps,https://github.com/dkhamsing/open-source-ios-apps,App/Template,,51254,5892,3,2015-01-26,2026-07-16,0,51254,8,High,P1,,,High,https://www.youtube.com/results?search_query=flutter+open-source-ios-apps,"app, apple, apple-tv, apple-vision-pro, apple-watch, awesome",:iphone: Collaborative List of Open-Source iOS Apps,Inside open-source-ios-apps: an open-source Flutter app worth studying,open-source-ios-apps,Planned
9,spotube,KRTirtho/spotube,https://github.com/KRTirtho/spotube,App/Template,Dart,47598,2201,823,2021-02-14,2026-07-16,0,47598,9,High,P1,,,High,https://www.youtube.com/results?search_query=flutter+spotube,"android, android-client, android-music-player, desktop-client, fdroid, flutter",🎧 Open source music streaming app! Available for both desktop & mobile!,Inside spotube: an open-source Flutter app worth studying,spotube,Planned
10,FlClash,chen08209/FlClash,https://github.com/chen08209/FlClash,Library/Tooling,Dart,45865,2900,543,2023-08-15,2026-07-13,3,45865,10,High,P1,,,Medium,https://www.youtube.com/results?search_query=flutter+flclash,"clash, clash-meta, flutter, hysteria, multi-platform, proxy","A multi-platform proxy client based on ClashMeta,simple and easy to use, open-source and ad-free.",FlClash: a Flutter developer's guide,flclash,Planned
